"Feels like I'm just there to watch Ads. Most are 30 seconds long, are deliberately slow to start or show the X to close it. Some are completely inappropriate.",2,2020-06-05 16:30:47
"Not sure what to think yet, besides I like penguins and winter is my favorite time of year. 👍🙂",2,2020-06-05 16:21:30
Relaxing and fun,5,2020-06-05 16:09:43
I love it,5,2020-06-05 15:19:46
it's so cuteee,5,2020-06-05 14:02:59
Fgh,5,2020-06-05 13:17:10
Very nice and clam,5,2020-06-05 12:47:38
Too much ad,3,2020-06-05 12:12:49
Incredibly relaxing! Just started playing and I feel so calm and peaceful.,5,2020-06-05 10:22:55
Smooth graphics and not necessarily a pay the advance game. Lots of ads but you can easily progress with out watching ads.,4,2020-06-05 09:30:32
very relaxing and doesn't shove ads on your face,5,2020-06-05 08:59:16
"Really like this game, also great customer service 😄",5,2020-06-05 08:45:16
"Never the less, i love this game. Though i get little laggy. Some of the things cost alot of whatever their called. But i love it 😁",5,2020-06-05 08:42:06
This is a good game,5,2020-06-05 08:16:20
"So relaxing only been playing for about 2-3 days yet loving it. The graphics, controls, and gameplay is amazing keep on updating this game I play at least once a day.",5,2020-06-05 07:42:50
Really cute penguins,5,2020-06-05 06:06:11
It's so calming and the penguins are adorable! I love when they carry flowers around and plant them. The game is super easy and practically plays itself.,5,2020-06-05 05:29:03
"They hit you with those sweet, sweet microtransactions instantly",1,2020-06-05 04:57:01
Adorable game! A lot of love and effort has gone into this and it shows. Please keep developing this because it's beautiful. It's relaxing and entertaining - such great characters. There is a good level of progression compared to the amount of ads you watch. I hate the TikTok ads tho because they pull you out of Penguin Isle and open play store automatically.,5,2020-06-05 02:58:11
Love it,5,2020-06-05 02:12:44
This is soooo beautiful,5,2020-06-05 00:10:28
"Cute game, I'm loving it so far. However my phone gets hot while playing. I wish there was minigames where you can select a penguin to dive down the water to grab coins, fish etc",5,2020-06-04 23:37:03
Relaxing game,5,2020-06-04 22:54:32
I love this game. it had gotten me through hard times with it's chill music and happy penguins. it's fun. thank you,5,2020-06-04 22:13:14
Amei o joguinho,5,2020-06-04 22:08:05
Gg,5,2020-06-04 21:58:18
Wow,5,2020-06-04 20:12:20
Great game to play but one problem is when u take a photo once you've collected the coins it wont let me click on the x to close it,4,2020-06-04 18:17:32
Very good game.,5,2020-06-04 17:26:44
"Bro, the penguins look cute af, 11/10",5,2020-06-04 17:02:27
😊🤒😷🤫👨‍✈️👨‍🚀,5,2020-06-04 16:15:26
Thank you for making this game!! I love it and now i can't stop playing it hahaha..,5,2020-06-04 15:07:07
"Not gonna lie, addicting as hell. Love it",5,2020-06-04 13:40:24
Really fun game 😁😁😁😁😁😁😁,5,2020-06-04 12:07:22
very relaxing!,5,2020-06-04 11:54:12
"Heyy , I love the game but after reinstallation, my past accomplishments were gone .. is there a way to retrieve my past isle ?",3,2020-06-04 11:08:55
"Cool, beautiful game, but requires a lot of time put into it and/or money. Not gonna waste precious time watching ads so I could advance in the game.",1,2020-06-04 09:15:13
weee,5,2020-06-04 08:46:05
Awesome game,5,2020-06-04 06:52:57
All day I want to play a good game that have creative thing that we can t believe I like this game,5,2020-06-04 06:32:30
Great idle tap game to waste time with.,5,2020-06-04 06:22:47
😉😉😉😉😉😉😉,5,2020-06-04 06:17:53
This is a really nice app to relax to and it's so cute! Easy to play and makes me happy. 🤗 Love it!! ❤️ 💕,5,2020-06-04 03:49:35
This game is the best idle game ever! Kinda reminds me of animal tycoon I think its called!?,5,2020-06-04 02:28:17
Wow Justin White is awesome I go down it like right now sis is like Yes. Yes. Vvcc yes Queen,5,2020-06-04 00:57:16
